category,job_id,script,state,start,end,elapsed,exit_code
completed,43679712,HAMMER_CLEANUP_D1_TASK/Approach2/hammercleanupD1_approach2_awe.sh,COMPLETED,2026-08-16T06:33:06-04:00,2026-08-16T16:56:44-04:00,10:23:38,0
completed,43679713,HAMMER_CLEANUP_D1_TASK/Approach2/hammercleanupD1_approach2_uvd.sh,COMPLETED,2026-08-16T06:33:06-04:00,2026-08-16T17:04:41-04:00,10:31:35,0
completed,43679714,HAMMER_CLEANUP_D1_TASK/Approach2/hammercleanupD1_approach2_mix_bspline_bspline_greville.sh,COMPLETED,2026-08-16T06:33:06-04:00,2026-08-16T16:38:28-04:00,10:05:22,0
failed,43679715,HAMMER_CLEANUP_D1_TASK/Approach2/hammercleanupD1_approach2_mix_gripper_heuristic_orientation_heuristic.sh,FAILED,2026-08-16T06:33:06-04:00,2026-08-16T08:26:49-04:00,01:53:43,1
failed,43679716,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_awe.sh,FAILED,2026-08-16T06:33:06-04:00,2026-08-16T09:17:46-04:00,02:44:40,1
failed,43679717,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_uvd.sh,FAILED,2026-08-16T06:33:06-04:00,2026-08-16T09:27:10-04:00,02:54:04,1
failed,43679718,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_mix_bspline_bspline_greville.sh,FAILED,2026-08-16T06:57:12-04:00,2026-08-16T08:37:14-04:00,01:40:02,120
failed,43679719,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_mix_gripper_heuristic_orientation_heuristic.sh,FAILED,2026-08-16T06:57:12-04:00,2026-08-16T09:50:10-04:00,02:52:58,1
failed,43679722,COFFEE_PREPERATION_D1_TASK/Approach2/coffee_preperationD1_approach2_mix_bspline_bspline_greville.sh,FAILED,2026-08-16T08:29:14-04:00,2026-08-16T08:59:22-04:00,00:30:08,1
failed,43679723,COFFEE_PREPERATION_D1_TASK/Approach2/coffee_preperationD1_approach2_mix_gripper_heuristic_orientation_heuristic.sh,FAILED,2026-08-16T08:41:03-04:00,2026-08-16T08:59:53-04:00,00:18:50,1
cancelled,43679721,COFFEE_PREPERATION_D1_TASK/Approach2/coffee_preperationD1_approach2_uvd.sh,CANCELLED,2026-08-16T08:29:14-04:00,2026-08-16T17:40:00-04:00,09:10:46,0
cancelled,43708794,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_uvd.sh,CANCELLED,2026-08-16T17:21:30-04:00,2026-08-16T17:44:40-04:00,00:23:10,0
cancelled,43708795,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_mix_bspline_bspline_greville.sh,CANCELLED,2026-08-16T17:21:30-04:00,2026-08-16T17:44:40-04:00,00:23:10,0
cancelled,43708796,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_mix_gripper_heuristic_orientation_heuristic.sh,CANCELLED,2026-08-16T17:21:30-04:00,2026-08-16T17:44:40-04:00,00:23:10,0
running,43679720,COFFEE_PREPERATION_D1_TASK/Approach2/coffee_preperationD1_approach2_awe.sh,RUNNING,2026-08-16T06:57:12-04:00,,10:48:39,
running,43708792,HAMMER_CLEANUP_D1_TASK/Approach2/hammercleanupD1_approach2_mix_gripper_heuristic_orientation_heuristic.sh,RUNNING,2026-08-16T17:21:30-04:00,,00:24:21,
running,43708793,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_awe.sh,RUNNING,2026-08-16T17:21:30-04:00,,00:24:21,
pending,43708797,COFFEE_PREPERATION_D1_TASK/Approach2/coffee_preperationD1_approach2_mix_bspline_bspline_greville.sh,PENDING,,,00:00:00,
pending,43708798,COFFEE_PREPERATION_D1_TASK/Approach2/coffee_preperationD1_approach2_mix_gripper_heuristic_orientation_heuristic.sh,PENDING,,,00:00:00,
pending,43710285,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_uvd.sh,PENDING,,,00:00:00,
pending,43710286,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_mix_bspline_bspline_greville.sh,PENDING,,,00:00:00,
pending,43710287,KITCHEN_D1_TASK/Approach2/kitchenD1_approach2_mix_gripper_heuristic_orientation_heuristic.sh,PENDING,,,00:00:00,
